#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000712152,452.299000,537.916200,455.376200,5.327984,5.756030,4.902839,4.986966,5.456025,4.517406,0.268438,0.180295,249,155,605
85000713257,532.616900,451.423200,512.296400,3.143188,3.660096,2.611159,2.457828,3.033107,1.897018,0.341442,0.239750,519,366,604
85000716992,516.237500,490.316500,521.689300,5.289076,5.695289,4.873041,3.442549,3.952388,2.924294,0.342743,0.251207,505,422,601
85000718015,525.488700,534.319500,461.445600,9.644425,10.009191,9.270568,7.019642,7.335516,6.702002,0.354079,0.264461,576,493,600
85000719178,475.591600,534.974500,526.342200,6.792206,7.134817,6.449591,5.144462,5.573058,4.727463,0.352806,0.260213,569,468,599
85000720387,457.913500,495.339800,540.524400,1.783262,2.380789,1.262373,1.044438,1.648001,1.000001,0.346795,0.245873,544,396,598
85000720390,539.998700,458.404900,512.473400,3.609643,4.115441,3.117561,3.076789,3.613788,2.528132,0.330750,0.224225,468,299,598
85000721616,471.438500,504.013100,477.512600,9.600922,9.912528,9.290543,6.115577,6.482844,5.754936,0.353885,0.270066,572,529,597
85000721617,487.286800,519.112400,477.432200,6.659157,7.004100,6.316860,5.322870,5.760547,4.891030,0.340501,0.242371,509,379,597
85000721618,469.748500,513.835800,519.602700,6.405620,6.753668,6.065972,4.228387,4.679960,3.766418,0.351435,0.260701,563,485,597
85000721642,463.521500,508.117200,456.556100,8.613377,8.921595,8.307499,5.920225,6.295565,5.552492,0.353045,0.270630,578,527,597
85000721737,522.023800,471.392500,484.096900,7.384026,7.690828,7.085450,5.046920,5.467937,4.626298,0.347990,0.265643,557,499,597
85000722870,463.841200,478.618800,507.220100,11.382240,11.827330,10.939527,8.576644,8.919840,8.237082,0.355360,0.265149,573,496,596
85000725209,481.411500,494.275000,453.545600,6.350364,6.701831,6.001635,4.332563,4.786908,3.868539,0.351000,0.264061,566,492,594
85000726426,472.029100,547.458100,500.108600,4.815099,5.244887,4.394940,3.235262,3.756439,2.708137,0.353052,0.259385,569,464,593
85000726577,489.240500,490.511500,453.338000,9.722114,10.074413,9.369501,7.813717,8.135024,7.491114,0.342016,0.246803,516,403,593
85000727601,460.065200,514.261500,485.109100,7.724416,8.038672,7.415720,5.079295,5.496066,4.656977,0.351635,0.266972,561,496,592
85000727602,454.983700,502.321000,540.489300,7.298277,7.594039,7.005531,5.523127,5.943902,5.110625,0.327643,0.236358,453,353,592
85000727722,496.843300,476.478900,484.141200,5.096996,5.517416,4.673051,4.842170,5.307721,4.379299,0.335719,0.224461,487,300,592
85000728900,462.068300,466.667800,464.845300,2.258155,2.829575,1.695647,1.126439,1.738001,1.000002,0.330058,0.245267,468,393,591
85000728902,470.928200,469.981600,510.273900,7.696252,7.986177,7.413207,5.453088,5.842011,5.054426,0.345778,0.256755,536,449,591
85000731241,471.082800,526.743800,492.544700,7.344500,7.653327,7.044267,4.794475,5.227219,4.361755,0.350811,0.267163,562,507,589
85000731244,538.884700,453.432800,512.511300,6.022231,6.398224,5.651514,3.554441,4.076272,3.046058,0.354191,0.274717,580,547,589
85000732500,501.328300,488.567000,486.974700,4.204047,4.672823,3.736782,3.453433,3.963808,2.945295,0.342467,0.238981,510,362,588
85000733730,479.601800,545.838300,534.151100,4.979913,5.396739,4.555283,3.382941,3.883236,2.871217,0.350848,0.259945,567,467,587
85000733731,496.517800,513.166400,528.692700,9.198497,9.544548,8.856856,6.357861,6.714238,6.009969,0.345982,0.258458,533,464,587
85000734949,471.422100,503.196400,475.309800,8.812543,9.124345,8.507185,6.548024,6.905434,6.199292,0.355068,0.267888,569,511,586
