haloID,c_low,c_mid,c_high,n_particles,virial_r
07571,9.60553178078,9.8667162406,10.0964842559,4340,207.11499608
07572,8.73686199876,8.91088943075,9.06543291647,1340,207.11499608
07573,9.52994500957,9.66825635577,9.7868424487,23397,207.11499608
07574,9.31433017103,9.57010048825,9.76513913225,5315,207.11499608
07575,8.98104025,9.21792741503,9.47604855364,378,207.11499608
07576,9.27717438716,9.44393114441,9.60492516334,2550,207.11499608
07577,8.87490531495,9.10106011468,9.34481716178,2201,207.11499608
07578,9.77358497522,9.92580300288,10.0833876798,10877,207.11499608
07579,9.50986194452,9.69466126612,9.90966394122,6372,207.11499608
07580,9.14013216381,9.408201193,9.6543781297,2124,207.11499608
07581,8.018975853,8.34461597533,8.55423385039,599,207.11499608
07582,8.35721101892,8.71286993697,9.07717598344,735,207.11499608
07583,10.147016014,10.3745070177,10.5747073372,5789,207.11499608
07584,8.15209044518,8.60394713102,8.98905555684,677,207.11499608
07585,9.10678207777,9.49961097347,9.76716689228,1574,207.11499608
07586,9.22139822667,9.40282519937,9.59335876176,13961,207.11499608
07587,8.21210258732,8.47362240362,8.67485405134,1441,207.11499608
07588,8.82259814415,9.10277732794,9.35421290108,2980,207.11499608
07589,9.65200194659,9.79506542255,9.91599208183,10014,207.11499608
07590,9.72024908191,10.0732094529,10.5255652623,967,207.11499608
07591,10.6057661599,11.1471974314,11.7081445586,344,207.11499608
07592,9.10903028467,9.59308340745,10.083178031,386,207.11499608
07593,9.80525334282,10.0108835927,10.1757987924,13826,207.11499608
07594,9.69898859248,9.91155139463,10.1204664223,11721,207.11499608
07595,9.30631580924,9.66885344032,9.99068279431,218,207.11499608
07596,10.0980867913,10.457241012,10.8077049388,3815,207.11499608
07597,9.57492950832,9.86183882589,10.1696566678,2119,207.11499608
07598,8.00849027126,8.20239586813,8.41487364503,500,207.11499608
07599,9.74782808052,10.0282154894,10.2873724712,987,207.11499608
07600,8.49564062797,8.78251422235,9.04866015619,695,207.11499608
07601,8.98950916463,9.26689342694,9.51405902387,1930,207.11499608
07602,6.81738774621,7.06441224232,7.32592245283,423,207.11499608
07603,8.37580868534,8.71544843381,9.05843943912,203,207.11499608
07604,9.61978376549,9.80153166016,9.99808177866,16188,207.11499608
07605,6.65510740956,6.91878114588,7.20851778437,233,207.11499608
07606,10.5722946561,10.8255234928,11.1390047616,360,207.11499608
07607,10.0751706945,10.3623118761,10.7825526482,3896,207.11499608
07608,9.69800933141,9.93991875589,10.1473250741,3506,207.11499608
07609,9.47500275944,9.67452438735,9.83287364159,18777,207.11499608
07610,9.882347122,10.221730801,10.4889446694,2180,207.11499608
07611,10.2803864311,10.4899817498,10.7395644292,2938,207.11499608
07612,10.2495882534,10.5714745198,11.0988426733,565,207.11499608
07613,8.65258305334,8.87396941976,9.08392655495,909,207.11499608
07614,9.12071821087,9.41627911251,9.69349122691,7557,207.11499608
07615,8.37112819884,8.50414563811,8.79431338613,371,207.11499608
07616,10.8342532738,11.2040751162,11.5360655227,321,207.11499608
07617,12.1774445159,12.6421945219,12.9390827734,543,207.11499608
07618,8.63215316223,8.95301178191,9.14968714205,691,207.11499608
07619,9.77773410344,10.1003441707,10.3869132122,571,207.11499608
07620,10.0096750547,10.3739498391,10.6762573781,271,207.11499608
07621,9.94933103669,10.2051606931,10.4152035002,654,207.11499608
07622,9.58497134566,9.79437424433,9.98056721377,3834,207.11499608
