# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
294,0.005379,-0.006691,-0.014968,10.684668,0.000000,1.011130,994,995
295,-0.000079,-0.004326,0.003621,10.343247,0.000000,0.995755,1003,1004
296,-0.005761,0.001534,0.005674,10.228401,0.000000,0.997538,974,975
297,-0.005590,-0.000224,0.001434,10.300230,0.000000,1.003488,961,962
298,-0.012549,0.002123,0.004666,10.488266,0.000000,1.003228,961,962
299,0.000000,-0.000000,0.000000,9.971071,-0.000000,0.998222,1010,1011
300,0.004526,-0.002371,-0.010306,10.267769,0.000000,1.001768,1044,1045
301,0.000000,-0.000000,-0.000000,10.044125,0.000000,0.998168,983,984
302,0.000000,-0.000000,0.000000,10.020633,0.000000,0.998141,968,969
303,-0.001043,-0.009538,-0.002321,10.309791,0.000000,1.000387,1045,1046
304,0.002792,-0.004820,-0.000404,10.258662,0.000000,1.001126,1024,1025
305,-0.003365,0.007496,-0.006185,10.285246,0.000000,1.004917,962,963
306,-0.003703,-0.000931,-0.004264,10.027159,0.000000,0.995374,983,984
307,-0.000000,0.000000,0.000000,10.023908,0.000000,0.998310,1065,1066
308,0.000000,-0.000000,0.000000,10.001091,0.000000,0.998237,1020,1021
309,-0.005322,0.000808,0.006093,10.358009,0.000000,1.005884,992,993
310,0.002196,-0.004193,0.003271,10.343438,-0.000000,0.999562,965,966
311,0.000821,0.001609,-0.005247,10.246051,0.000000,1.000544,1039,1040
312,-0.000474,0.005609,-0.000854,10.204361,0.000000,0.999976,998,999
313,-0.018233,0.008426,0.025569,10.651278,0.000000,1.016688,1026,1027
314,0.000000,-0.000000,-0.000000,9.967956,0.000000,0.998222,1010,1011
315,-0.000000,0.000000,-0.000000,10.014534,0.000000,0.998040,918,919
316,0.002492,-0.005118,-0.000475,10.441922,0.000000,1.001236,970,971
317,-0.004796,0.002664,0.001227,10.202270,0.000000,1.001511,1013,1014
318,-0.001861,0.003298,-0.004213,10.129250,0.000000,0.999092,1006,1007
319,-0.008295,0.017224,0.004613,10.559703,0.000000,1.005351,1073,1074
320,-0.002847,-0.004919,0.001042,10.118149,-0.000000,0.997980,969,970
321,-0.000000,-0.000000,0.000000,10.017794,0.000000,0.998258,1033,1034
322,-0.004180,0.003079,-0.001995,10.277430,0.000000,1.000305,1029,1030
323,0.008878,-0.001442,-0.004441,10.226100,0.000000,1.001639,1019,1020
324,-0.000000,-0.000000,0.000000,9.985073,0.000000,0.998177,986,987
325,0.002911,-0.002027,-0.004532,10.247245,0.000000,1.000563,975,976
326,0.000000,0.000000,0.000000,10.056518,0.000000,0.998189,995,996
327,0.005272,-0.000906,-0.001769,10.373594,-0.000000,1.003188,1011,1012
328,0.000000,0.000000,0.000000,10.034086,0.000000,0.998266,1038,1039
329,-0.013612,-0.021123,0.001191,10.652501,0.000000,1.016413,961,962
330,0.001478,-0.004149,0.003455,10.203308,0.000000,0.996828,1013,1014
331,-0.004167,0.003555,-0.001158,10.373365,-0.000000,1.000798,1011,1012
332,-0.000000,0.000000,-0.000000,9.985644,0.000000,0.998068,930,931
333,0.001732,-0.002834,-0.011308,10.247478,0.000000,0.997216,995,996
334,-0.000000,0.000000,-0.000000,10.032071,0.000000,0.998237,1021,1022
335,0.011575,0.004364,-0.009682,10.461683,0.000000,1.008983,1035,1036
336,-0.003156,0.004524,0.001275,10.328521,0.000000,1.001912,999,1000
337,0.004556,-0.000672,0.003593,10.289695,0.000000,0.994725,935,936
338,-0.000000,-0.000000,-0.000000,10.006836,0.000000,0.998125,959,960
339,0.000000,-0.000000,0.000000,9.987429,-0.000000,0.998229,1015,1016
340,0.007300,0.012719,-0.000229,10.651324,0.000000,1.011744,996,997
341,0.009807,0.006165,0.000298,10.316487,-0.000000,1.007113,1034,1035
342,0.002939,-0.003564,0.003408,10.221929,0.000000,1.001706,969,970
343,0.002900,-0.005673,-0.005191,10.127360,0.000000,0.994873,979,980
344,0.000000,0.000000,-0.000000,10.000679,0.000000,0.998200,999,1000
345,-0.000000,-0.000000,0.000000,9.975897,0.000000,0.998242,1022,1023
346,-0.000000,-0.000000,0.000000,10.017414,0.000000,0.998170,983,984
347,-0.004407,-0.000171,0.003534,10.214272,0.000000,0.998590,1005,1006
348,-0.002765,0.003275,0.003572,10.189178,0.000000,1.001132,1039,1040
349,-0.004713,0.000414,-0.003007,10.441698,0.000000,1.003625,1013,1014
350,0.000869,0.001444,-0.005480,10.308864,0.000000,1.001597,970,971
351,-0.000000,0.000000,0.000000,9.967706,0.000000,0.998265,1035,1036
352,0.000000,0.000000,0.000000,9.973740,-0.000000,0.998193,994,995
353,0.005259,-0.002103,0.000086,10.325048,0.000000,0.999809,991,992
354,-0.001593,0.007354,-0.003085,10.732257,0.000000,1.003779,989,990
355,0.003971,0.003616,-0.001681,10.334946,0.000000,0.997093,1002,1003
356,0.002981,0.002792,0.006928,10.371372,0.000000,1.000951,1026,1027
357,0.010842,0.009659,0.002371,10.647893,0.000000,1.011930,991,992
