halo_id,x_potential,y_potential,z_potential,x_mass,y_mass,z_mass,eig_1,eig_2,eig_3
85000046706,385.0162,508.5881,902.1312,384.95206429,508.521045102,902.23748189,625.101594272,1641.79787014,1605.84144595
85000047354,371.396,453.0171,870.7775,371.033458883,453.144925923,870.780092206,1292.13166979,3209.5649493,3627.89130021
85000047424,360.6947,438.1416,879.3785,360.688885608,438.06725481,879.363227859,678.718284283,919.239488172,1007.47464998
85000049472,337.3629,464.665,890.5499,337.418636687,464.798142281,890.756441875,2351.49033084,1331.06584899,1610.02847525
85000050647,412.7962,478.3096,868.0487,412.854784958,478.351110685,868.087611814,1560.1894303,701.508293853,1104.26019387
85000051745,401.8392,458.9503,872.1533,401.907839968,458.911382763,872.18518462,559.0495888,988.520087352,820.663235268
85000052433,380.3573,501.1277,891.7339,380.374136407,501.163117608,891.069792183,500.432353341,6011.23356923,5989.80248481
85000052632,342.6804,464.2409,886.2191,342.656330191,464.252438439,886.237845394,930.741125833,726.913457924,512.631982984
85000053895,373.1021,515.5366,846.5565,373.115816589,515.581614141,846.583591489,688.935422029,566.937958873,416.895733459
85000058103,392.4299,467.2497,858.7473,392.492581489,467.289676107,858.744090577,781.513692741,881.425053814,1083.84039048
85000058463,399.7137,479.9595,844.5266,399.698563008,479.925602642,844.468936815,314.432872324,597.058258799,473.166158997
85000058987,410.9557,451.6909,871.0064,410.903595106,451.924383461,870.945077603,694.089317154,1586.44565789,1712.03932789
85000059075,381.3701,454.073,892.2528,380.666300822,453.688273932,892.138937797,399.342737138,6244.41520805,6145.66420118
85000060687,386.0229,444.6088,883.3437,386.065901187,444.695683839,883.419218992,486.450330199,987.043346883,1073.77585456
85000061794,372.3416,476.3316,864.1172,372.361511461,476.320745936,864.179261211,447.49678555,674.502721682,631.669957128
85000065581,373.7144,457.5824,873.4139,373.781227588,457.732822606,873.329011535,333.48729608,1274.22446294,1417.3675931
85000065780,425.9312,482.1795,860.2097,425.999088401,482.210804119,860.185769885,381.790004753,605.666144101,761.642876866
85000066102,361.0451,518.584,895.4045,361.142819462,518.412886837,895.391851853,282.703198604,699.634917908,782.002594248
85000066479,409.2734,450.9044,887.2087,409.287690302,450.920659659,887.204508053,341.516718192,557.86377027,546.539445718
85000066576,371.1463,478.1472,847.4476,371.199310455,478.117266673,847.479928188,510.050528074,557.659228765,327.361194341
85000066849,396.3202,480.4615,887.0269,396.330610882,480.488506848,887.025127312,611.958411241,526.90832379,319.601651109
85000067791,351.663,495.9139,865.1228,351.669982133,495.876157382,865.098143156,354.277247713,842.872730905,749.835215961
85000070654,367.8883,516.0568,826.5463,367.879639309,516.010019901,826.507474239,304.343784885,513.636422154,474.3218909
85000071632,382.9053,451.9077,881.6548,382.883938313,451.675807563,881.581780033,266.807880703,1183.65656773,1239.08150712
85000071644,391.5078,458.1795,879.4851,391.484265939,458.191023109,879.470995283,288.735917073,752.3554069,724.504611427
85000072429,351.9275,516.606,845.9,351.649009099,516.531323962,845.71734631,276.920941201,1938.44684153,1868.44406911
85000072502,409.355,514.0518,874.4459,409.369042833,514.02572787,874.42540894,393.228154387,448.169369591,523.653789522
85000074565,362.7674,475.0858,843.3248,362.86556462,475.010970159,843.285674453,882.848026503,724.443792685,531.190126172
85000075926,384.9092,451.3759,882.3992,385.01783635,451.403012486,882.512093061,427.847307176,1082.10729359,1034.87243371
85000076969,361.1053,438.795,833.6951,361.098782886,438.757341773,833.690163198,341.886203483,451.69298872,439.263576437
85000077915,387.4436,478.6671,895.2446,387.446536606,478.650755953,895.172900022,306.168676379,373.386265289,449.700335732
85000077991,422.4648,516.7102,866.7772,422.649414181,516.693845655,866.78683703,297.479332086,710.691243514,630.083530599
85000079224,364.4253,425.6413,880.0451,364.395360248,425.621064482,880.06766036,448.319680185,342.396395272,288.758911503
85000080091,383.0845,429.6357,862.6732,383.1537709,429.615641822,862.63306388,340.004509854,493.863507163,445.304847464
85000080173,365.5295,455.2218,836.6447,365.535123323,455.22237479,836.626364105,304.715684117,399.018641632,452.983731431
85000080332,360.4429,440.3624,823.879,360.379500501,440.391357354,823.591127641,238.363309037,1740.32729839,1651.10502043
85000080706,405.9662,421.9122,884.7055,406.010669966,421.915819794,884.705673509,307.556982337,463.469202374,445.799557569
85000080926,352.0599,496.8528,871.631,352.132013723,496.867290882,871.606097503,197.43830992,339.659861381,371.979474078
85000081290,400.4006,453.9302,881.8057,400.380963394,453.937286503,881.74103587,472.477524429,305.730136641,381.80264327
85000081790,384.3918,505.3,895.043,384.379231022,505.327874896,895.062376976,240.495004388,406.241600679,366.921081894
85000082175,378.7546,487.261,880.5551,378.624622019,487.176879374,880.423703248,369.449652515,914.224925512,800.778942333
85000082502,390.3628,465.5517,866.3162,390.363620391,465.519026653,866.136775186,437.830518826,916.166196828,836.019079045
85000082685,426.9492,424.9302,820.5922,426.961629524,424.951824347,820.624128801,434.901066269,393.902388366,220.105399745
85000082810,343.1957,468.443,884.7553,343.026824656,468.505409036,884.713381205,294.125914861,688.448427193,614.250109506
