#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85004402746,526.417500,538.509800,504.329500,173798.759740,234773.833429,112203.536947,0.046136,0.051954,0.040323,0.286311,0.257253,5.575944
85002558758,497.366800,515.190900,497.146700,863815.502696,1055725.028848,667123.218510,0.024132,0.026131,0.022133,0.381134,0.277090,11.482338
85000008745,484.342300,539.181500,511.660500,326602.590297,330749.919936,322546.531454,0.194309,0.195521,0.193107,1.964823,1.384243,7.123926
85000973047,543.972300,534.037400,487.121500,918944.453307,1010901.242811,826133.692550,0.037530,0.039066,0.036022,0.423941,0.402465,10.723808
85005547931,526.903600,456.868300,469.106800,36477.426762,64624.708910,9061.816503,0.076421,0.087591,0.065045,0.221096,0.202848,2.654361
85003685350,482.147900,480.546300,460.492400,957664.428427,1344508.820756,580467.196568,0.020828,0.022647,0.019059,0.248004,0.000000,-99.000000
85007023322,533.796700,483.559500,451.224200,1879.920638,3242.447595,1088.039826,0.297343,0.297614,0.284116,0.297614,0.175009,0.588574
85006787073,515.400500,455.162700,515.214000,584025.956750,1030395.318098,145298.737506,0.022455,0.026918,0.018042,0.235677,0.184256,8.205582
85001529338,456.322100,486.091200,532.234100,757681.601695,856211.820622,658189.702356,0.032954,0.034899,0.031061,0.364145,0.341523,10.363560
85003713461,470.110800,453.049600,527.562400,655303.172050,916784.277724,387298.352318,0.024022,0.026286,0.021737,0.512377,0.235084,9.786383
85001982300,469.296100,455.917300,531.025900,131275.664561,162158.449570,99741.994798,0.065061,0.070103,0.060044,0.305835,0.000000,-99.000000
85006788748,494.482500,502.886800,454.575200,3442835.701786,5740171.439425,1195046.675903,0.010110,0.011848,0.008345,0.185674,0.185231,18.321657
85004062955,457.863300,487.361700,537.358200,1329753.017991,2057326.718990,603918.239091,0.017897,0.019908,0.015843,0.292534,0.238023,13.299670
85006100465,458.920300,536.884300,524.410800,354542.652799,554390.440688,157411.853817,0.028661,0.034076,0.023179,0.221710,0.190401,6.643178
85004488397,486.260300,546.832400,499.420900,157448.424033,253089.030086,60043.464516,0.037385,0.041538,0.033327,0.392035,0.212142,5.674546
85008367385,503.694100,481.537400,459.801400,531713.459535,1725300.356944,28468.541793,0.020807,0.026021,0.015723,0.214019,0.180738,8.686498
85003393666,489.732400,535.433200,509.163100,3775780.685313,7317002.447529,662681.648018,0.012686,0.014067,0.011305,0.313126,0.248881,19.618256
85006798727,528.824400,471.269100,483.645800,824183.173952,2613606.059176,116577.457153,0.018517,0.021116,0.015924,0.208380,0.185987,10.044043
85005689450,509.170300,472.502800,534.425100,212744.098476,330907.027565,92901.441337,0.035108,0.040928,0.029184,0.224895,0.217406,6.192432
85002636265,532.154500,534.783500,483.921400,130734.685543,166662.559683,93757.708954,0.057144,0.062525,0.051887,0.329085,0.275056,4.813401
85005468176,461.673600,546.605400,477.100700,3628434.644584,6480081.201281,697339.156002,0.011037,0.012183,0.009904,0.218286,0.209203,18.954465
85002574164,466.327300,531.305900,462.540200,1071199.650225,1339560.982535,808464.099419,0.021937,0.023369,0.020531,0.364509,0.277535,12.651599
85002996235,478.949100,541.425700,512.928000,45653.232971,60953.709332,30302.247454,0.075395,0.082386,0.068551,0.432902,0.250592,3.323704
85008052740,462.819500,511.606100,518.451800,655227.695609,1091083.646075,212135.359236,0.018562,0.021217,0.015843,0.202694,0.170476,9.184328
85008367341,516.105700,466.714900,500.507200,12484654.210229,65120467.917341,75369.318065,0.005087,0.008120,0.001984,0.128608,0.000000,-99.000000
85002430759,525.201400,535.212200,480.333400,1091057.062115,1509764.862688,665050.846755,0.022941,0.024782,0.021075,0.359078,0.269165,11.733190
85001630798,466.465600,546.860600,509.172000,372658.177846,429703.488064,315594.208987,0.045442,0.048102,0.042755,0.387335,0.331685,7.299043
85005613544,495.793900,504.134600,488.644800,208497.665591,331211.759947,83763.396709,0.033491,0.039430,0.027492,0.274554,0.208633,6.229570
